id,section_id,day,period,hours,subject_code,subject_short,type,group,room_id,faculty_id,notes
S0001,CSE-3,MON,1,1,105301,DE,L,,203,chandra-shekhar-singh-chandal,
S0002,CSE-3,MON,2,2,105303,OOP,P,G1,134,md-sharique-eliyas,
S0003,CSE-3,MON,2,2,105301,DE,P,G2,,chandra-shekhar-singh-chandal,
S0004,CSE-3,MON,4,1,105302,DSA,L,,203,harshit-kumar,
S0005,CSE-3,MON,5,1,105303,OOP,L,,203,md-sharique-eliyas,
S0006,CSE-3,MON,6,1,105306,UHV,L,,203,priyanshu-jha,
S0007,CSE-3,TUE,1,1,105304,DMGT,L,,203,ashish-kumar,
S0008,CSE-3,TUE,2,2,105301,DE,P,G1,,chandra-shekhar-singh-chandal,
S0009,CSE-3,TUE,2,2,105303,OOP,P,G2,134,md-sharique-eliyas,
S0010,CSE-3,TUE,4,1,105306,UHV,L,,203,priyanshu-jha,
S0011,CSE-3,WED,1,1,105301,DE,L,,203,chandra-shekhar-singh-chandal,
S0012,CSE-3,WED,2,1,105304,DMGT,L,,203,ashish-kumar,
S0013,CSE-3,WED,3,1,105303,OOP,L,,203,md-sharique-eliyas,
S0014,CSE-3,WED,4,1,105306,UHV,L,,203,priyanshu-jha,
S0015,CSE-3,WED,5,1,105302,DSA,L,,203,harshit-kumar,
S0016,CSE-3,WED,6,1,105307,IKS,L,,203,ravi-kumar,
S0017,CSE-3,THU,1,1,105301,DE,L,,203,chandra-shekhar-singh-chandal,
S0018,CSE-3,THU,2,2,105302,DSA,P,G1,134,harshit-kumar,
S0019,CSE-3,THU,2,2,105305,OS,P,G2,204,nisha-kumari,
S0020,CSE-3,THU,4,1,105304,DMGT,L,,203,ashish-kumar,
S0021,CSE-3,THU,5,1,105305,OS,L,,203,nisha-kumari,
S0022,CSE-3,THU,6,1,105307,IKS,L,,203,ravi-kumar,
S0023,CSE-3,FRI,1,1,105303,OOP,L,,203,md-sharique-eliyas,
S0024,CSE-3,FRI,2,2,105305,OS,P,G1,204,nisha-kumari,
S0025,CSE-3,FRI,2,2,105302,DSA,P,G2,134,harshit-kumar,
S0026,CSE-3,FRI,4,1,105305,OS,L,,203,nisha-kumari,
S0027,CSE-3,FRI,6,1,105307,IKS,L,,203,ravi-kumar,
S0028,CSE-3,SAT,1,1,105302,DSA,L,,203,harshit-kumar,
S0029,CSE-3,SAT,2,1,105304,DMGT,L,,203,ashish-kumar,
S0030,CSE-3,SAT,3,1,105305,OS,L,,203,nisha-kumari,
